naziv,drzava,grad,godinaotvorenja,kapacitet,rekordnaprisutnost,domacin,cijenaizgradnje,brojloza,ime,prezime
Santiago Bernabéu,Španjolska,Madrid,1947,81044,129690,Real Madrid CF,1732943000,245,Manuel Muñoz,Monasterio
Santiago Bernabéu,Španjolska,Madrid,1947,81044,129690,Real Madrid CF,1732943000,245,Luis Alemany,Soler
Santiago Bernabéu,Španjolska,Madrid,1947,81044,129690,Real Madrid CF,1732943000,245,Antonio,Lamela
Camp Nou,Španjolska,Barcelona,1957,99354,120000,FC Barcelona,1730916000,23,Francesc,Mitjans
Camp Nou,Španjolska,Barcelona,1957,99354,120000,FC Barcelona,1730916000,23,Josep,Soteras
Old Trafford,Engleska,Manchester,1910,74310,76962,Manchester United,101000000,21,Archibald,Leitch
San Siro,Italija,Milano,1926,80018,82465,Inter Milan,360000000,30,Ulisse,Stacchini
San Siro,Italija,Milano,1926,80018,82465,Inter Milan,360000000,30,Alberto,Cugini
Parc des Princes,Francuska,Pariz,1972,48527,50370,Paris Saint-Germain,750000000,20,Roger,Taillibert
Parc des Princes,Francuska,Pariz,1972,48527,50370,Paris Saint-Germain,750000000,20,Siavash,Teimouri
Signal Iduna Park,Njemačka,Dortmund,1974,81365,83000,BV Borussia Dortmund,200000000,11,Ulrich,Drahtler
Allianz arena,Njemačka,München,2005,75024,76576,FC Bayern München,340000000,106,Jacques,Herzog
Allianz arena,Njemačka,München,2005,75024,76576,FC Bayern München,340000000,106,Pierre,de Meuron
Stadion Maksimir,Hrvatska,Zagreb,1912,35123,64138,GNK Dinamo Zagreb,47810000,8,Branko,Kincl
Emirates Stadium,Engleska,London,2006,60704,60161,Arsenal FC,454533000,152,Tom,Jones
Emirates Stadium,Engleska,London,2006,60704,60161,Arsenal FC,454533000,152,Marc,Spinner
Emirates Stadium,Engleska,London,2006,60704,60161,Arsenal FC,454533000,152,Mark,Craine
Anfield,Engleska,Liverpool,1884,54362,61905,Liverpool FC,221439000,64,Archibald,Leitch
Etihad Stadium,Engleska,Manchester,2003,53400,54523,Manchester City FC,130532000,70,John,Laing
Johan Cruijff Arena,Nizozemska,Amsterdam,1996,54990,54874,AFC Ajax,140000000,76,Rob,Schuurman
Johan Cruijff Arena,Nizozemska,Amsterdam,1996,54990,54874,AFC Ajax,140000000,76,Sjoerd,Soeters
